iter	Passed	Remaining
0	147	147182
1	283	141484
2	435	144574
3	587	146174
4	731	145534
5	885	146743
6	1036	147076
7	1187	147193
8	1328	146278
9	1483	146818
10	1641	147608
11	1806	148742
12	1964	149132
13	2109	148547
14	2261	148513
15	2402	147780
16	2555	147761
17	2694	146996
18	2842	146756
19	2981	146086
20	3128	145831
21	3268	145317
22	3416	145122
23	3557	144678
24	3696	144149
25	3836	143738
26	3979	143395
27	4118	142974
28	4256	142532
29	4395	142117
30	4545	142086
31	4684	141711
32	4829	141529
33	4971	141236
34	5110	140895
35	5248	140530
36	5410	140831
37	5560	140756
38	5699	140432
39	5840	140167
40	5978	139830
41	6115	139487
42	6265	139453
43	6409	139270
44	6549	138998
45	6689	138740
46	6833	138553
47	6972	138286
48	7113	138056
49	7258	137906
50	7397	137655
51	7536	137392
52	7677	137188
53	7817	136951
54	7957	136725
55	8105	136631
56	8252	136526
57	8407	136549
58	8549	136363
59	8688	136125
60	8828	135895
61	8966	135656
62	9106	135442
63	9246	135227
64	9397	135177
65	9543	135047
66	9690	134941
67	9834	134795
68	9982	134695
69	10121	134471
70	10260	134254
71	10399	134038
72	10536	133801
73	10679	133637
74	10821	133465
75	10961	133272
76	11104	133114
77	11256	133052
78	11425	133196
79	11564	132994
80	11702	132774
81	11843	132586
82	11989	132460
83	12133	132313
84	12272	132106
85	12412	131922
86	12551	131722
87	12694	131562
88	12835	131384
89	12981	131256
90	13125	131111
91	13265	130924
92	13404	130733
93	13549	130597
94	13699	130501
95	13843	130357
96	13982	130170
97	14120	129966
98	14260	129783
99	14400	129603
100	14545	129471
101	14693	129356
102	14837	129219
103	14989	129137
104	15134	129003
105	15272	128809
106	15416	128666
107	15557	128489
108	15700	128340
109	15850	128246
110	15990	128071
111	16131	127902
112	16272	127732
113	16502	128254
114	16672	128302
115	16817	128157
116	16958	127984
117	17102	127835
118	17243	127660
119	17382	127468
120	17522	127290
121	17665	127131
122	17807	126966
123	17946	126781
124	18084	126593
125	18233	126475
126	18374	126303
127	18513	126122
128	18657	125973
129	18799	125814
130	18943	125665
131	19089	125526
132	19239	125421
133	19380	125247
134	19519	125069
135	19660	124902
136	19801	124733
137	19942	124570
138	20099	124499
139	20238	124320
140	20378	124149
141	20520	123991
142	20667	123857
143	20814	123730
144	20957	123577
145	21099	123419
146	21241	123261
147	21389	123132
148	21532	122983
149	21673	122818
150	21822	122697
151	21964	122539
152	22103	122362
153	22243	122195
154	22382	122021
155	22525	121868
156	22666	121703
157	22813	121574
158	22952	121404
159	23092	121235
160	23373	121802
161	23515	121642
162	23655	121471
163	23807	121359
164	23947	121188
165	24088	121023
166	24226	120841
167	24371	120695
168	24510	120522
169	24653	120365
170	24798	120222
171	24942	120073
172	25088	119931
173	25231	119777
174	25373	119619
175	25511	119439
176	25661	119316
177	25803	119162
178	25943	118991
179	26085	118835
180	26228	118678
181	26379	118562
182	26521	118406
183	26664	118253
184	26809	118105
185	26955	117965
186	27103	117832
187	27245	117678
188	27394	117549
189	27543	117422
190	27687	117273
191	27834	117134
192	27974	116970
193	28120	116829
194	28260	116664
195	28408	116532
196	28554	116393
197	28693	116222
198	28830	116047
199	28975	115900
200	29113	115727
201	29254	115568
202	29408	115460
203	29551	115308
204	29691	115145
205	29837	115006
206	29975	114832
207	30113	114661
208	30257	114517
209	30404	114378
210	30543	114213
211	30685	114057
212	30840	113949
213	30978	113779
214	31122	113633
215	31261	113466
216	31399	113297
217	31547	113164
218	31687	113005
219	31826	112840
220	31968	112685
221	32112	112539
222	32251	112374
223	32391	112213
224	32533	112059
225	32675	111907
226	32812	111735
227	32962	111611
228	33106	111462
229	33248	111309
230	33391	111160
231	33533	111006
232	33673	110847
233	33813	110688
234	33960	110551
235	34097	110384
236	34234	110214
237	34375	110057
238	34513	109894
239	34655	109743
240	34799	109596
241	34940	109440
242	35081	109285
243	35226	109144
244	35364	108981
245	35514	108854
246	35651	108687
247	35792	108531
248	35943	108407
249	36080	108240
250	36217	108075
251	36363	107934
252	36500	107770
253	36647	107632
254	36785	107469
255	36929	107327
256	37068	107166
257	37213	107026
258	37351	106863
259	37492	106708
260	37631	106549
261	37777	106410
262	37916	106251
263	38064	106119
264	38201	105954
265	38344	105806
266	38484	105652
267	38622	105491
268	38762	105334
269	38900	105175
270	39041	105024
271	39180	104865
272	39320	104711
273	39463	104563
274	39600	104401
275	39739	104245
276	39879	104089
277	40020	103937
278	40165	103796
279	40304	103639
280	40446	103490
281	40592	103352
282	40736	103209
283	40884	103073
284	41022	102916
285	41169	102780
286	41307	102620
287	41445	102462
288	41583	102304
289	41722	102147
290	41872	102018
291	42011	101864
292	42154	101716
293	42291	101557
294	42431	101404
295	42577	101266
296	42716	101110
297	42855	100955
298	42994	100799
299	43138	100656
300	43275	100496
301	43415	100344
302	43559	100202
303	43705	100062
304	43851	99924
305	43989	99767
306	44130	99616
307	44270	99463
308	44416	99326
309	44562	99186
310	44708	99047
311	44849	98897
312	44992	98752
313	45134	98605
314	45274	98453
315	45416	98307
316	45557	98157
317	45703	98018
318	45842	97864
319	45981	97709
320	46122	97560
321	46260	97404
322	46399	97253
323	46544	97112
324	46684	96960
325	46827	96814
326	46966	96661
327	47109	96516
328	47249	96366
329	47394	96224
330	47539	96083
331	47678	95932
332	47823	95790
333	47979	95670
334	48121	95524
335	48260	95371
336	48405	95230
337	48544	95078
338	48686	94931
339	48825	94779
340	48963	94623
341	49104	94475
342	49244	94325
343	49385	94176
344	49534	94043
345	49677	93898
346	49816	93746
347	49955	93594
348	50096	93446
349	50242	93306
350	50380	93154
351	50526	93014
352	50667	92867
353	50828	92754
354	50979	92625
355	51127	92488
356	51273	92350
357	51430	92230
358	51592	92118
359	51760	92019
360	51922	91906
361	52061	91754
362	52202	91606
363	52349	91467
364	52511	91355
365	52678	91251
366	52843	91144
367	52985	90997
368	53125	90846
369	53282	90723
370	53445	90613
371	53596	90480
372	53742	90339
373	53881	90186
374	54021	90035
375	54160	89883
376	54303	89737
377	54447	89594
378	54590	89447
379	54741	89314
380	54879	89161
381	55031	89030
382	55170	88877
383	55322	88746
384	55461	88594
385	55599	88439
386	55740	88292
387	55880	88140
388	56022	87994
389	56164	87846
390	56301	87692
391	56446	87550
392	56589	87404
393	56731	87256
394	56876	87114
395	57025	86979
396	57171	86837
397	57312	86689
398	57451	86537
399	57600	86400
400	57744	86256
401	57898	86127
402	58066	86019
403	58212	85877
404	58352	85727
405	58492	85577
406	58637	85434
407	58789	85302
408	58929	85152
409	59077	85014
410	59223	84871
411	59365	84725
412	59510	84582
413	59670	84461
414	59841	84354
415	59990	84216
416	60135	84073
417	60286	83939
418	60458	83834
419	60603	83690
420	60748	83546
421	60903	83417
422	61045	83269
423	61194	83131
424	61343	82993
425	61501	82868
426	61653	82733
427	61797	82588
428	61986	82503
429	62152	82388
430	62301	82249
431	62453	82114
432	62617	81995
433	62771	81863
434	62926	81731
435	63077	81595
436	63246	81482
437	63417	81371
438	63572	81239
439	63718	81095
440	63864	80952
441	64005	80803
442	64435	81017
443	64603	80900
444	64789	80805
445	64976	80710
446	65169	80624
447	65334	80501
448	65490	80368
449	65664	80257
450	65843	80150
451	66026	80049
452	66212	79952
453	66375	79826
454	66537	79698
455	66689	79559
456	66857	79439
457	67018	79310
458	67171	79171
459	67321	79030
460	67461	78876
461	67611	78733
462	67752	78581
463	67890	78425
464	68036	78278
465	68177	78126
466	68323	77979
467	68464	77826
468	68609	77679
469	68754	77531
470	68900	77385
471	69041	77233
472	69186	77085
473	69330	76936
474	69478	76791
475	69622	76642
476	69770	76498
477	69913	76348
478	70052	76194
479	70191	76040
480	70345	75903
481	70486	75750
482	70635	75607
483	70781	75461
484	70923	75310
485	71063	75158
486	71209	75010
487	71353	74863
488	71500	74717
489	71642	74566
490	71784	74416
491	71929	74268
492	72076	74122
493	72222	73976
494	72360	73822
495	72505	73674
496	72644	73521
497	72788	73373
498	72927	73219
499	73064	73064
500	73205	72913
501	73345	72761
502	73497	72620
503	73639	72470
504	73780	72319
505	73924	72171
506	74068	72022
507	74216	71879
508	74358	71729
509	74497	71575
510	74644	71430
511	74794	71288
512	74931	71133
513	75072	70982
514	75213	70832
515	75361	70687
516	75502	70537
517	75646	70389
518	75794	70245
519	75935	70094
520	76076	69943
521	76215	69791
522	76356	69641
523	76495	69487
524	76637	69338
525	76784	69194
526	76943	69059
527	77083	68908
528	77231	68763
529	77371	68612
530	77518	68467
531	77678	68333
532	77831	68193
533	77977	68047
534	78132	67909
535	78281	67765
536	78427	67619
537	78567	67468
538	78712	67321
539	78850	67169
540	78991	67018
541	79138	66873
542	79290	66732
543	79434	66584
544	79571	66431
545	79714	66282
546	79856	66133
547	80006	65990
548	80152	65844
549	80297	65697
550	80435	65545
551	80578	65397
552	80719	65247
553	80872	65106
554	81018	64960
555	81163	64813
556	81303	64663
557	81457	64523
558	81608	64381
559	81752	64233
560	81902	64090
561	82041	63939
562	82186	63792
563	82327	63643
564	82470	63494
565	82611	63345
566	82751	63194
567	82899	63050
568	83049	62907
569	83191	62758
570	83339	62614
571	83489	62471
572	83634	62324
573	83779	62178
574	83921	62029
575	84068	61883
576	84211	61735
577	84359	61590
578	84499	61440
579	84642	61293
580	84787	61146
581	84934	61001
582	85073	60850
583	85216	60702
584	85362	60556
585	85499	60403
586	85637	60252
587	85779	60103
588	85921	59955
589	86064	59807
590	86209	59660
591	86348	59510
592	86485	59358
593	86632	59213
594	86778	59067
595	86918	58917
596	87063	58771
597	87208	58625
598	87350	58476
599	87495	58330
600	87640	58184
601	87785	58037
602	87927	57889
603	88074	57743
604	88210	57592
605	88374	57457
606	88521	57312
607	88669	57168
608	88811	57019
609	88957	56874
610	89099	56726
611	89249	56582
612	89390	56434
613	89545	56294
614	89695	56150
615	89835	56001
616	89987	55859
617	90124	55708
618	90264	55558
619	90405	55409
620	90544	55259
621	90685	55111
622	90829	54964
623	90986	54824
624	91130	54678
625	91271	54529
626	91413	54381
627	91567	54240
628	91716	54096
629	91861	53950
630	92011	53806
631	92166	53666
632	92324	53527
633	92474	53384
634	92615	53235
635	92761	53089
636	92903	52941
637	93050	52796
638	93194	52650
639	93339	52503
640	93478	52353
641	93633	52213
642	93787	52071
643	93934	51926
644	94075	51778
645	94213	51627
646	94358	51481
647	94505	51336
648	94644	51186
649	94783	51037
650	94923	50888
651	95070	50742
652	95210	50594
653	95350	50445
654	95493	50298
655	95638	50151
656	95781	50004
657	95926	49858
658	96064	49708
659	96206	49560
660	96349	49413
661	96489	49264
662	96627	49115
663	96775	48970
664	96913	48821
665	97054	48673
666	97198	48526
667	97339	48378
668	97481	48230
669	97625	48084
670	97769	47937
671	97911	47790
672	98053	47642
673	98314	47552
674	98497	47424
675	98643	47278
676	98786	47131
677	98928	46983
678	99074	46837
679	99220	46692
680	99367	46546
681	99504	46396
682	99653	46251
683	99792	46102
684	99938	45957
685	100084	45811
686	100222	45661
687	100364	45514
688	100504	45365
689	100651	45220
690	100793	45072
691	100939	44926
692	101082	44779
693	101231	44635
694	101369	44485
695	101513	44339
696	101659	44193
697	101801	44045
698	101939	43896
699	102096	43755
700	102238	43608
701	102375	43458
702	102529	43315
703	102674	43170
704	102815	43021
705	102955	42873
706	103097	42726
707	103245	42581
708	103389	42434
709	103537	42289
710	103680	42142
711	103825	41996
712	103968	41849
713	104126	41708
714	104275	41564
715	104467	41436
716	104656	41307
717	104824	41170
718	104977	41027
719	105127	40883
720	105292	40744
721	105449	40602
722	105608	40461
723	105762	40318
724	105910	40173
725	106071	40032
726	106219	39887
727	106365	39740
728	106528	39600
729	106688	39460
730	106838	39315
731	106992	39172
732	107158	39033
733	107313	38890
734	107455	38742
735	107608	38598
736	107761	38454
737	107912	38310
738	108056	38163
739	108199	38016
